# eta lambda l= m to 9 (computed with gyre.eval_lambda)
0.00000 6.0000000000e+00 1.2000000000e+01 2.0000000000e+01 3.0000000000e+01 4.2000000000e+01 5.6000000000e+01 7.2000000000e+01 9.0000000000e+01
0.02000 5.9605646462e+00 1.1961584249e+01 1.9963118858e+01 2.9965087691e+01 4.1967470524e+01 5.5970260217e+01 7.1973453701e+01 8.9977049471e+01
0.04000 5.9222320418e+00 1.1926275931e+01 1.9932404278e+01 2.9940278018e+01 4.1949811902e+01 5.5960975807e+01 7.1973756778e+01 8.9988148465e+01
0.06000 5.8849636515e+00 1.1893987650e+01 1.9907758391e+01 2.9925477846e+01 4.1946944003e+01 5.5972085364e+01 7.2000871160e+01 9.0033286310e+01
0.08000 5.8487225779e+00 1.1864637328e+01 1.9889094647e+01 2.9920614786e+01 4.1958819691e+01 5.6003575258e+01 7.2054823721e+01 9.0112536752e+01
0.10000 5.8134734800e+00 1.1838147879e+01 1.9876337250e+01 2.9925636576e+01 4.1985424294e+01 5.6055479280e+01 7.2135706169e+01 9.0226058163e+01
0.12000 5.7791824966e+00 1.1814446901e+01 1.9869420648e+01 2.9940510559e+01 4.2026775236e+01 5.6127878560e+01 7.2243675344e+01 9.0374094290e+01
0.14000 5.7458171732e+00 1.1793466391e+01 1.9868289069e+01 2.9965223252e+01 4.2082921844e+01 5.6220901747e+01 7.2378953905e+01 9.0556975548e+01
0.16000 5.7133463936e+00 1.1775142479e+01 1.9872896097e+01 2.9999780007e+01 4.2153945309e+01 5.6334725468e+01 7.2541831413e+01 9.0775120870e+01
0.18000 5.6817403146e+00 1.1759415180e+01 1.9883204293e+01 3.0044204739e+01 4.2239958806e+01 5.6469575038e+01 7.2732665825e+01 9.1029040130e+01
0.20000 5.6509703046e+00 1.1746228165e+01 1.9899184848e+01 3.0098539738e+01 4.2341107759e+01 5.6625725447e+01 7.2951885403e+01 9.1319337154e+01
0.22000 5.6210088851e+00 1.1735528538e+01 1.9920817266e+01 3.0162845539e+01 4.2457570261e+01 5.6803502609e+01 7.3199991049e+01 9.1646713365e+01
0.24000 5.5918296760e+00 1.1727266643e+01 1.9948089080e+01 3.0237200870e+01 4.2589557636e+01 5.7003284897e+01 7.3477559095e+01 9.2011972086e+01
0.26000 5.5634073431e+00 1.1721395865e+01 1.9980995588e+01 3.0321702640e+01 4.2737315139e+01 5.7225504951e+01 7.3785244565e+01 9.2416023548e+01
0.28000 5.5357175489e+00 1.1717872456e+01 2.0019539618e+01 3.0416466004e+01 4.2901122814e+01 5.7470651784e+01 7.4123784934e+01 9.2859890658e+01
0.30000 5.5087369058e+00 1.1716655369e+01 2.0063731310e+01 3.0521624459e+01 4.3081296475e+01 5.7739273195e+01 7.4494004423e+01 9.3344715585e+01
0.32000 5.4824429320e+00 1.1717706098e+01 2.0113587913e+01 3.0637330003e+01 4.3278188845e+01 5.8031978491e+01 7.4896818856e+01 9.3871767232e+01
0.34000 5.4568140096e+00 1.1720988527e+01 2.0169133600e+01 3.0763753326e+01 4.3492190819e+01 5.8349441540e+01 7.5333241130e+01 9.4442449679e+01
0.36000 5.4318293447e+00 1.1726468799e+01 2.0230399298e+01 3.0901084046e+01 4.3723732883e+01 5.8692404168e+01 7.5804387331e+01 9.5058311674e+01
0.38000 5.4074689301e+00 1.1734115172e+01 2.0297422524e+01 3.1049530974e+01 4.3973286651e+01 5.9061679910e+01 7.6311483548e+01 9.5721057285e+01
0.40000 5.3837135094e+00 1.1743897904e+01 2.0370247230e+01 3.1209322411e+01 4.4241366547e+01 5.9458158129e+01 7.6855873440e+01 9.6432557811e+01
0.42000 5.3605445436e+00 1.1755789127e+01 2.0448923655e+01 3.1380706463e+01 4.4528531609e+01 5.9882808520e+01 7.7439026603e+01 9.7194865081e+01
0.44000 5.3379441785e+00 1.1769762738e+01 2.0533508185e+01 3.1563951376e+01 4.4835387412e+01 6.0336686000e+01 7.8062547795e+01 9.8010226270e+01
0.46000 5.3158952149e+00 1.1785794291e+01 2.0624063203e+01 3.1759345878e+01 4.5162588106e+01 6.0820935999e+01 7.8728187072e+01 9.8881100369e+01
0.48000 5.2943810795e+00 1.1803860895e+01 2.0720656951e+01 3.1967199519e+01 4.5510838541e+01 6.1336800146e+01 7.9437850889e+01 9.9810176468e+01
0.50000 5.2733857977e+00 1.1823941117e+01 2.0823363384e+01 3.2187843002e+01 4.5880896480e+01 6.1885622346e+01 8.0193614210e+01 1.0080039399e+02
0.52000 5.2528939675e+00 1.1846014887e+01 2.0932262013e+01 3.2421628493e+01 4.6273574860e+01 6.2468855229e+01 8.0997733663e+01 1.0185496505e+02
0.54000 5.2328907349e+00 1.1870063414e+01 2.1047437750e+01 3.2668929899e+01 4.6689744081e+01 6.3088066942e+01 8.1852661753e+01 1.0297739905e+02
0.56000 5.2133617706e+00 1.1896069095e+01 2.1168980739e+01 3.2930143097e+01 4.7130334276e+01 6.3744948228e+01 8.2761062132e+01 1.0417152966e+02
0.58000 5.1942932478e+00 1.1924015437e+01 2.1296986173e+01 3.3205686100e+01 4.7596337530e+01 6.4441319728e+01 8.3725825879e+01 1.0544154431e+02
0.60000 5.1756718209e+00 1.1953886976e+01 2.1431554097e+01 3.3495999141e+01 4.8088809968e+01 6.5179139398e+01 8.4750088680e+01 1.0679201604e+02
0.62000 5.1574846054e+00 1.1985669205e+01 2.1572789199e+01 3.3801544654e+01 4.8608873667e+01 6.5960509897e+01 8.5837248773e+01 1.0822793791e+02
0.64000 5.1397191589e+00 1.2019348501e+01 2.1720800575e+01 3.4122807136e+01 4.9157718285e+01 6.6787685773e+01 8.6990985355e+01 1.0975475953e+02
0.66000 5.1223634632e+00 1.2054912050e+01 2.1875701476e+01 3.4460292859e+01 4.9736602315e+01 6.7663080194e+01 8.8215277105e+01 1.1137842542e+02
